연번,호선,역번호,역명,광고시설물명,광고시설물 수량,광고대행사,데이터기준일자
323,2,207,상왕십리,멀티비젼,0,나스미디어,2024-11-28
324,2,207,상왕십리,디지털포스터,0,브랜드발전소,2024-11-28
325,2,207,상왕십리,기둥조명,0,전홍,2024-11-28
326,2,207,상왕십리,승강장안전문 조명(민자제외),0,에스엘엠엔씨,2024-11-28
327,2,207,상왕십리,승강장매립형,0,,2024-11-28
328,2,207,상왕십리,공간활용 프로모션,0,전홍,2024-11-28
329,2,207,상왕십리,승강장음성광고,0,양진텔레콤,2024-11-28
330,2,207,상왕십리,디지털종합안내도_디지털,6,싸인텔레콤,2024-11-28
331,2,207,상왕십리,디지털종합안내도_인쇄식,9,싸인텔레콤,2024-11-28
332,2,207,상왕십리,디지털종합안내도_조명,0,싸인텔레콤,2024-11-28
333,2,207,상왕십리,스마트 정보 안내시스템,0,,2024-11-28
334,2,207,상왕십리,디지털보드,1,씨에스와이커뮤니케이션,2024-11-28
335,2,207,상왕십리,지하철 출입구 상단벽면,0,씨제이씨지브이,2024-11-28
336,2,207,상왕십리,승강장안전문 광고(민자)_일반형,0,유진메트로컴,2024-11-28
337,2,207,상왕십리,승강장안전문 광고(민자)_난간형,0,유진메트로컴,2024-11-28
338,2,207,상왕십리,승강장안전문 광고(민자)_동영상,0,유진메트로컴,2024-11-28
339,2,207,상왕십리,역구내행선안내게시기,16,비츠로미디어,2024-11-28
340,2,207,상왕십리,제2기 교통카드 RF단말기 광고,0,서울신교통카드,2024-11-28
341,2,208,왕십리(2),역구내조명광고,1,브랜드발전소,2024-11-28
